NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,404.74700000000007
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,442.0730000000001
b38a03232f43b11c9d0788abaf060f7366053b6d,579.2769999999997
70b682d9a3636be23f6120fa9d6b164eb3c6002d,4.984
715494628a50142ce8cb17191cfe6d0f3cae0934,515.9939999999999
e656d6bad65c93fb2880f1eba5037008c8e75774,494.22500000000014
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,524.0550000000001
11539e86171bf07d3a36f09377d7f54ebcc8406a,430.3409999999998
043c544a2104aa8a9849f1a703a08d37a2f16839,479.9090000000002
76ba050e64ad100b856f0eaabd8f539d5c7dd185,465.2209999999998
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,4.984
db4da599aab5bb08dce27094a35fd3e36cd0abce,4.984
940aede382ccb332fab15d413217695ec44ca765,472.5140000000002
9ad714b116da76d878dd399d187fccc2dd13dd63,570.1710000000002
dd34464a4d780b12a089347ad580418ac57a3055,509.7889999999998
f837a4cb05a5fd59d20138182f5e8c721eadd584,441.8830000000001
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,4.984
ca8477c8493b09f34d17bb287f9bacf2dd744c32,4.984
8b0c675d7fde14953668269d378c588f0df0498b,4.984
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,405.6500000000001
3d203727f27abd83b71732d88d8cb1cc099f363b,428.5539999999998
d30d31c8ff45094e9a992c63d4a6f68b245a341a,482.86899999999986
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,4.984
cbc301183dec912f3513ca766bf03dd565f3a38f,451.1999999999999
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,615.9060000000002
11282da1ee78c8db45a041db4c744e33df489df0,444.38100000000014
03c67f683a415c2ea09b582248bd4cb08528c19d,576.721
046e844fb06a07ba30b41521f0065a8d9c6e5024,424.26499999999993
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,411.43199999999996
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,8.802
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,4.984
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,440.29500000000024
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,532.8079999999999
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,486.81500000000005
